feature,coef
russian,-0.07262230080915126
secret,-0.06674887724830521
secret service,-0.06674887724830521
service,-0.06654456495506364
money,-0.05978574662417999
russia,-0.057060379207190266
ms,-0.053399101798644155
applicant tell,-0.04672421407381364
mother,-0.04668576480588295
brother,-0.04668576480588295
tell,-0.04495027028681998
bank,-0.040049326348983116
scheme,-0.040049326348983116
wend,-0.039480049972220425
gx,-0.03631115040457563
father,-0.03631115040457563
applicant receive,-0.0360860199771243
business,-0.033823333313726875
february,-0.033374438624152604
isis,-0.033374438624152604
obtain,-0.03112384320392196
contact,-0.029878252482435697
admit,-0.02819585831454193
applicant admit,-0.02819585831454193
scheme applicant,-0.026699550899322078
background,-0.026699550899322078
money wend,-0.026699550899322078
false,-0.026699550899322078
december,-0.025936536003268305
2018,-0.025936536003268305
intelligence,-0.025936536003268305
hearing,-0.025936536003268305
russian government,-0.025936536003268305
unite,-0.022008894283675015
2009,-0.02198809081985333
week,-0.020749228802614643
2015,-0.020749228802614643
home,-0.020749228802614643
citizen,-0.020749228802614643
allegation,-0.020749228802614643
high,-0.020749228802614643
answer,-0.020749228802614643
english,-0.020749228802614643
employ,-0.020749228802614643
bank account,-0.020024663174491558
applicant tell investigator,-0.020024663174491558
middle,-0.020024663174491558
middle east,-0.020024663174491558
rois,-0.020024663174491558
tell investigator,-0.020024663174491558
illegal,-0.020024663174491558
east,-0.020024663174491558
legitimate,-0.020024663174491558
ms applicant,-0.020024663174491558
attempt,-0.020024663174491558
53 applicant,-0.020024663174491558
wend isis,-0.020024663174491558
transfer,-0.020024663174491558
53,-0.019174353320260858
company,-0.019174353320260858
manager,-0.019174353320260858
withdraw,-0.019174353320260858
investigator,-0.018093055111692433
month,-0.01804300998856215
unite state,-0.017856513644668157
telephone,-0.016911666656863437
financial,-0.016911666656863437
21,-0.016911666656863437
involve,-0.016911666656863437
applicant obtain,-0.01556192160196098
allegation sor,-0.01556192160196098
stay,-0.01556192160196098
program,-0.01556192160196098
worth,-0.01556192160196098
applicant sca,-0.01556192160196098
service gx,-0.01556192160196098
linguist,-0.01556192160196098
ax,-0.01556192160196098
16,-0.01556192160196098
2017,-0.01556192160196098
university,-0.01556192160196098
sca,-0.01556192160196098
answer sor,-0.01556192160196098
answer sor applicant,-0.01556192160196098
allege,-0.01556192160196098
day,-0.01556192160196098
hearing applicant,-0.01556192160196098
hearing applicant testify,-0.01556192160196098
applicant brother,-0.01556192160196098
additional,-0.014097929157270966
union,-0.014097929157270966
2009 applicant,-0.014097929157270966
communication,-0.014097929157270966
february 26 2021,-0.013349775449661039
february 26,-0.013349775449661039
february 2021,-0.013349775449661039
european country applicant,-0.013349775449661039
european country,-0.013349775449661039
european,-0.013349775449661039
wire,-0.013349775449661039
applicant tell bank,-0.013349775449661039
applicant attempt,-0.013349775449661039
isis applicant,-0.013349775449661039
secret service applicant,-0.013349775449661039
wend eastern,-0.013349775449661039
rois applicant,-0.013349775449661039
applicant contact,-0.013349775449661039
business venture,-0.013349775449661039
care,-0.013349775449661039
applicant admit applicant,-0.013349775449661039
respond,-0.013349775449661039
bank manager,-0.013349775449661039
applicant initially,-0.013349775449661039
applicant know,-0.013349775449661039
victim scheme applicant,-0.013349775449661039
provide false information,-0.013349775449661039
admit applicant,-0.013349775449661039
testify secret service,-0.013349775449661039
conversation ms,-0.013349775449661039
conversation,-0.013349775449661039
provide false,-0.013349775449661039
telephonic,-0.013349775449661039
tell bank,-0.013349775449661039
tell investigator applicant,-0.013349775449661039
interviewer,-0.013349775449661039
14,-0.013349775449661039
applicant intentionally,-0.013349775449661039
testify secret,-0.013349775449661039
venture,-0.013349775449661039
conversation ms applicant,-0.013349775449661039
legitimate business venture,-0.013349775449661039
legitimate business,-0.013349775449661039
deposit 15,-0.013349775449661039
police report,-0.013349775449661039
deposit 15 000,-0.013349775449661039
deposit,-0.013349775449661039
applicant intentionally provide,-0.013349775449661039
15 000,-0.013349775449661039
victim,-0.013349775449661039
victim scheme,-0.013349775449661039
police,-0.013349775449661039
eastern european,-0.013349775449661039
eastern,-0.013349775449661039
52,-0.013349775449661039
51,-0.013349775449661039
53 applicant response,-0.013349775449661039
500,-0.013349775449661039
email applicant thought,-0.013349775449661039
email applicant,-0.013349775449661039
western union,-0.013349775449661039
illegal money,-0.013349775449661039
eastern european country,-0.013349775449661039
western,-0.013349775449661039
fund,-0.013349775449661039
